自分のこと大好きって悪いですか？,いいことだと思いますよ～🐈自己肯定感低いと人に嫉妬しやすくなりますからね🐈 僕は自分大好き
Twitterでモテる方法教えてください！,絵を描くとか イケメンになるとか
えんリけさんが今ほしい物は？,ちょっと商社で欲しい株がある🐈
Vtuberについてどう思います？,最近YouTubeの広告に出てくる奴めっちゃうざい
一つだけお願いが叶うとしたら？ A：いまつかう B：とっておく,性格的にとっておきそう
人脈とお金、どっちが大事だと思う？,人脈からお金作ればよくないすか
女らしさってなんですか？,今の時代そういう考え方いらないなーと僕は思いますーあくまで持論です🐈
ԅ( ˘ω˘ ԅ),ｷﾝｸﾞｸﾘﾑｿﾞﾝｯ(oﾟ∀ﾟ)=○)´3｀)∴
人に話すのと人の話を聞くの、どっちが得意？,前者
ユニバーサル・スタジオ・ジャパンは好きですか？,好きですよ カオスで(о´∀`о)
子供のころの写真に今の面影ある？,ないかも
ホント美しい顔してますよね？ 何かしてるんですか？,褒めてもなにもでないぞ🐈❗ 最近太ったけど❗ ありがと❗ お世辞でもうれしいぞい
子供嫌いなのはなぜですか？,嫌いだからだよ 本当に嫌いなものと好きなものに理由はないよ もう理屈をすっ飛ばして嫌いだよ
えんりけさんにとって、 青さんSHUさんは恩人ですか？,かけがえのない存在🐈
ファミレスに最高何時間居座った？,あんまりないけど、最長は４時間とか
何でも話せる友人っている？そーいうのいいよね,数人おります🐈 人生の宝ですね
にゃんにゃんにゃにゃーん にゃんにゃんにゃにゃーん,にゃーにゃーんにゃん
意識高い人のことをどう思いますか？,とてもすてき 大好き💓♥️❤️ １００いいね👍
友達の幅広い人ってうらやましい？,友達は質が命
夏と冬どっちが好き？,さま～
苦手な人と上手く付き合うにはどうすればいいですか,付き合わない という選択肢
2週間休みがあったら何する？,またマレーシアいって解脱します
うざい質問どうしてます？,２秒くらいでゴミ箱捨ててます
友達になってください～！まずはフォロバから！,まずは名乗りでるとこから～🐈
ポメラニアンと柴犬どっちのほうがカワイイと思う？,ポメラニアンかね
告白するほう！？ されるほう！？,されるほう
夜もふりあったことありますか？,ありますよ🐈
毎週見てるテレビ番組ってなにかありますか？？,ジョジョ
異性から「遊ぼ！」って言われると意識してしまいますよね？,別に🐈
質問がなかなかこないのですが、どうすればいいですか？,ん～🐈人気者になろう
彼女がいます 別れたいです LINEもいつものように返してしまって 相手のこと傷つけたくないんだど思います,ほんとのことを言わないのはやさしさじゃなーい🐈
一度でも悪いことをした人とは縁を切ってきたんですけど最近、全く自分に友達ができないことに悩んでいます。どうしたら,折れるか、自分の美学貫くか、選んだらいいじゃないですか
おススメのアーティストは？？,Eveさん、amazarashi、österreich
恋愛は自分のプラスになる派ですか？邪魔になる派ですか？,恋愛は人をめちゃくちゃ成長させてくれるので、＋派
自宅パーティーするときに欠かせないアイテムは？,ボドゲ
毎日、ちゃんと家でお勉強してる？,勉強は家ではしない研究室か大学の図書館。
リア充ってなんで爆発しないんですかね？,逆になんで爆発すると思ってたんですかね
Fantia始める予定はありますか？,Fantia( •́ㅿ•̀ )?
めちゃくちゃ感情が表に出ちゃうんですけど、これって良い時と悪い時がありますよね。。直したい。。。,精神が安定してる方が人生的な幸福はおおいきがします
目薬ってどのタイミングで刺します？,眠くなったら(´つω・｡)
来年の連休を数えています。休日を欲してます。 えんリけさんも連休待ちどおしいときありますか？,あるねぇ 大学生の時は半年に一回は海外旅行してたから、 社会人になって時間とれないのはつらいな
回らないお寿司屋さんに行ったことはありますか？,ありやすん
卍ですか？,卍解はできるよ ねこおおかみだからね
片付け苦手じゃない？,苦手🐈
めっちゃ質問きますねwww人気者www,🐈ｲｪｱ🐈
最近フォローした人の中で面白い人誰かいますか？,つばきにぃ
治したいコンプレックスはなんですか？,本気で取り組んだことで２、３位になったときは何回もあっても１位になったことがありませんでした。最後の詰めが甘いんにゃんねぇ
一緒にいて楽しくて友達みたいな人と付き合うことは幸せ？ときめきって必要かな。,ときめきわりと必要
「趣味・特技」の特技の方がハードル高くないです？,そりゃ特技は一定のクオリティ求められるし
東京生まれ東京育ちって響き、どう思います？,すてき🐈
「こいつは面白い！」って思ってもらえるような人になるにはどうすれば,面白い人を研究する
コミッションやられてますが色紙に書いてもらうことは可能ですか？,申し訳ありません。今非常に時間が取れない時期でして コミッションはしておりません。
えんリけさん、イラストも凄くうまいですけど料理もすごいですよね。,料理はできると いろいろ便利ですよねぇ。
ヒトって何のために「お付き合い」するんですかね…友達で楽しいなら友達で良くないですか？？,さては童貞か、あまのじゃくだな 童貞あまのじゃくだな
わんこ蕎麦って何のために食べるの？,ねこおおかみなので🐕の気持ちはわからない
自分が同性が好きと気付いたのは何歳ですか？,僕バイなんですけ怒💢
恋人の理想のファッションとかある？,裸パーカー
お家デートもして、もう付き合って半年たってラブラブなんですけどもう別れる可能性はないですよね！！！！,え、余裕で別れるでしょ
正直、芸能人になりたい？,いや、目立ちたくないんで、嫌ですね
人がどんどん離れていきます。,嫌われる相手を追わない。無理に他人にあわせすぎるとやんで死ぬ
クリスタを使ってるiPadproの容量は何GBを買いましたか？,６４です🐈
友達にしてもらって嬉しかったことは？,肩ﾓﾐﾓﾐと🍩差し入れ
ジビエ好き？,好んで食べるものでもない気がします 持論です🐈
私は人にプレゼントをすることが好きです。主に誕プレやお菓子などです。ただただ喜んでもらいたいだけなのですが、相手,ぼくは嬉しいえど 人によるかも
ケモナーになったきっかけは？,たぶねースターフォックスアサルト おそらく
笑っていいとも！って何で終わっちゃったんですかね,🐈？
デスゲームに参加するなら？ 黒幕？ 参加者？ 内通者？,黒幕
アニメのキャラクターになるなら何？,🐈
リア充になりたいからアドバイスください,ﾌﾜﾌﾜ 　　　,:&#39;:,...,:&#39;:, 　　,:&#39; ・ω・ &#39;:, 　　;:　　　 　:; 　　゛&#39;ー---‐&#39;&quot;&quot;
どこまでいったら浮気？,ラブソング興味なし
タチとネコ どっち？,タチは両手で数えるくらい ネコは０
仲良くしてください！,直接言ってきてほしい
実は憧れている人っていますか？,落合陽一さんと メンタリストのdaigoさん 石田スイ先生ですね
動画って何を見てる？,メンタリストdaigoと落合陽一🐈
知り合いの中で1番尊敬してます,それは嬉しい🐈
告白する勇気を私にください,僕からはあげられないので、とりあえずいうだけいってみたらどうですか
いつもスタバで何頼みがち？,季節ものか🐈 コールドブリューが飲みやすくて好き 夏場は頼みがち
朝ごはんはパン派ですか？お米派ですか？,お米
一日にメールは何回しますか？,えーいっぱい
思わずキュンとする仕草は？,ﾅﾃﾞﾅﾃﾞ
明日死ぬとしたら何をしますか？ベタな質問ですいません(笑),そんなの予想できない時点で考える必要なし
ニキビができたんだけど、とっておきの治し方とか知ってる？,傷パワーパッドを１✖️１cmくらいにカットすると、きれいに早く治る。ねこおおかみのオススメの治しかた
どこかに新しい出会いないかな？,受け身は成功しない🐈
どうやったらねこおおかみとご飯行けるの？奢るからさ,ねこおおかみ距離を急に詰められるのが凄く嫌いなので、少しづつ少しづつ仲良くなればいけるよ🐈
