かむかむしんしんのことどう思いますか？,私はとてもいい親友だと思っています！ 相談も乗ってくれるし！
逆にエッチなのぁちゃん描いてもいいでしょうか？,……え？！！！\(//Д//)/ そ、それはみ、見てみたい……ぅ 出来上がったらDMに投げてくださいっ お願いしますっっ(*´ｰ`*人)
夏とか汗の量エグくないですか？,えぐいです……(；´Д｀)
わざわざ山梨からとしまえんに 来るんですか？,はい 行きますけど
浮気ですか？,誰と？！！
わたしもいま、片思い中です... ねろさんの恋、叶うといいですね！,誰に片思いしてるのか こっそり教えてください( ͡° ͜ʖ ͡° ) お互い 思いが届くことを祈りましょう！(❁´ω`❁)
着ぐるみさん達に踏まれたいって思うのっておかしいんでしょうか…？,全然おかしくないですよ！！ 私ものぁとSIOに踏まれたい！ｗｗｗ
1時間くらいぎゅーしたい,1時間だけでいいんですか？(*´∇｀*)
彼氏さんと2人で遊ぶ時はなんて呼びあってるんですか？,まだ 名前で呼びあったことないですなぁ(´・ω・｀)
調子のんな,これは質問ではないぞ(*´σｰ｀)
好きな海の生き物は何ですか？,シードラゴンです
高校生です。早く着ぐるみを着たいのがやまやまなのですが… お金がありません…(苦笑) どうすればいいでしょうか？,そればかりは今は我慢してバイトして稼ぐしかありません…… 親に買ってもらうなんて嫌でしょう？
もふもふ最高だよね！,はい！！最高です！！！ もう 最高より最高なのにその上の言葉が見つかりません！！
11/10にデザフェスへいくのですが、どこの何時ごろにのぁちゃんに会えますでしょうか！？,土曜日だと一応予定では設営が出来たらのぁを呼ぼうかなぁと思ってます！ うろうろするかもしれないですが基本ブースにいると思うので ブースに来てください(❁´ω`❁)
着ぐるみ界隈の問題児って 千葉住みが多い気がするんだけど気のせい？,そ、そうなの？(；´Д｀)
ハッピーハロウィン！ 裏垢復活されてる！またイラスト楽しみにしてます！,裏垢でイタズラされたいんですね( ͡° ͜ʖ ͡° )
初体験（獣化）のときは（ファスナー締めるのは）痛かったですか！？(*´ω｀),どういうことかよくわかんないですけど 髪の毛巻き込まれると痛いですねｗｗｗ
色々準備してるみたいですしラザウォーク頑張ってくださいね！,ありがとうございます( o̴̶̷᷄﹏o̴̶̷̥᷅ ) 当日上手くできるかわからないですが精一杯頑張りますっ
SIO君もふりたい,モフろうっ！！！
好きな人とデートに行くなら、どんなところが嬉しいですか？,やっぱりディズニーランドかなぁ あ、でもお家でまったりもいいよね(❁´ω`❁)
恋人と別れた時の立ち直り方法を 教えてください...,そんなやつのために考えてる時間が勿体ないと思うのだ
尊すぎてリプ送れぬ…,いや、むしろ沢山送ってください( ˙-˙ )
のぁの誕生秘話教えて下さい！,な、ながくなるぞぉ！
二次方程式の解の公式って偉そうじゃね,懐かしい言葉を聞きました( ˘ω˘ )
金てのは腹のたしになるのかい？,まぁお金ないとご飯食べられないですしね(´・ω・｀)
好きな着ぐるみさんをモフモフしたとき、エッチな気分になることはありますか？？,確かに着ぐるみさんに撫で撫でされると凄い気持ちいいです！ でもその気持ちいいは心地いいってことで性的な意味じゃないですよ！！ｗｗ
好きなキャラやオーナーさんはいますか？？,それはもう皆違って皆いい！ って感じですね！ 結構今は海外の方のキャラがすきです！！
イラストは何で描いてますか？ パソコンでペンタブですか？,完全にアナログ派でしたがPhotoshopでイラストを描いたりしてます でも今はほとんどiPadで描いてますね！
ボディはSIO、ヘッドはのぁちゃん、そしてSIOのヘッドを小脇に抱え、「のぁちゃんがSIOの着ぐるみを着ている」,それ面白そうですね！！ 機会があればやってみますｗｗｗ
ちんちん咥えるの好きですか！？,(´^ω^｀)ﾌﾞﾌｫｯwww
擬人化したいケモノキャラはいますか？,ノイック うちの仔なら SIO ですかね
彼氏さんと同棲とか結婚とかする予定はありますか？遠距離って淋しくないですか？,寂しいって気持ちはありますけれど 毎日LINEしてくれるので安心してます(*´∀｀)-３ 同棲も結婚もする予定です\(//Д//)/
キャラシートコミッションですが 自作キャラクターのリメイクのを描いて頂くのは、可能でしょうか？,一応キャラクターデザインのコミッションになるので もしご自身でこんなキャラを考えてるんだけどって言うのがあれば ぜひDMにてご相談ください お力になれるように頑張りますっ
ラザウォークやフルーツ公園等のイベントってどんな感じなんですか？,山梨でのグリーティングイベントになります ラザウォークはショッピングモール内で獣化ができます
次回ののぁきゃすっていつ頃ですか？,のぁの調子が悪いのでやらないです
好きな男性にしてほしいと思うことは？,頭なでなで です！！！
クールなSIOくんの大ファンです！攻撃して欲しいぐらい好きなのですがお願いしたらしてくれますか？,え、 肉 裂かれますよ……( ˙-˙ )
何をしたら草食系で、どこからが肉食系だと思う？,手さえつなぐの恥ずかしーって人は草食系なんじゃないでしょうか わからないですけどｗｗｗ 肉食系ってチャラい人ってイメージしかないですｗｗｗ
ケモナーさんは男性ばっかに見えますが、女性のケモナーさんって誰がいますかね？,なかなか女性ではいないんじゃないですかねぇ 私くらいしか←オイ
オーナーさんだけが知っているSIOくんの弱点や苦手なことをこっそり教えてください(*´ω｀*),うーん、SIOの弱点…胡椒？ｗｗｗｗｗｗ
今年も残すところあと少しですがやり残したことはありますか？,やり残したこと…色んなことを全力で楽しむことですかね？
好きな人となかなか会えず、連絡もあまり取れないのですが、こんな時どうすればいいのでしょうか…？,それはとっても悲しいですね(´TωT｀) もし可能であれば 相手に思いをつたえるのもいいと思います 寂しい 連絡が欲しい という甘えも必要だと思います！
着ぐるみの視界はどこにあって、どのくらい見えているんですか？,普通に目から見えます ただ その仔によっては 見えにくい 見えやすいは変わってきます
イラスト以外で、得意なことはなんですか？,ハンドメイドですかねぇ 今は着ぐるみメインになってしまって全然やってないですけどっ
